id,type,name,title,width,height,commonsUrl,originalUrl,thumbUrl,license,licenseUrl,artist,date,source
"36","고지대 전경","Bongeunsa Seoul 4","File:Bongeunsa Seoul 4.jpg","7100","4800","https://commons.wikimedia.org/wiki/File%3ABongeunsa_Seoul_4.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c4/Bongeunsa_Seoul_4.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Bongeunsa_Seoul_4.jpg/960px-Bongeunsa_Seoul_4.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","kallerna","2022-12-06 10:40","search: Seoul panorama filetype:bitmap"
"37","파노라마","SeoulPanorama","File:SeoulPanorama.JPG","13088","2240","https://commons.wikimedia.org/wiki/File%3ASeoulPanorama.JPG","https://upload.wikimedia.org/wikipedia/commons/1/1f/SeoulPanorama.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/SeoulPanorama.JPG/960px-SeoulPanorama.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","Arne Hückelheim","2008-10-01","Category:Cityscapes of Seoul"
"38","고지대 전경","Bukchon-ro 11-gil 02","File:Bukchon-ro 11-gil 02.jpg","6016","4000","https://commons.wikimedia.org/wiki/File%3ABukchon-ro_11-gil_02.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c8/Bukchon-ro_11-gil_02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Bukchon-ro_11-gil_02.jpg/960px-Bukchon-ro_11-gil_02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Tristan Surtel","2019-08-01 14:09:27","search: Seoul skyline filetype:bitmap"
"39","고지대 전경","Seoul city skyline at night from Namsan Mountain (49175035266)","File:Seoul city skyline at night from Namsan Mountain (49175035266).jpg","6000","4000","https://commons.wikimedia.org/wiki/File%3ASeoul_city_skyline_at_night_from_Namsan_Mountain_(49175035266).jpg","https://upload.wikimedia.org/wikipedia/commons/3/34/Seoul_city_skyline_at_night_from_Namsan_Mountain_%2849175035266%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Seoul_city_skyline_at_night_from_Namsan_Mountain_%2849175035266%29.jpg/960px-Seoul_city_skyline_at_night_from_Namsan_Mountain_%2849175035266%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","Matt Kieffer from London, United Kingdom","2019-04-12 20:51","search: Seoul skyline filetype:bitmap"
"40","고지대 전경","Seoul city skyline at night from Namsan Mountain (49174548523)","File:Seoul city skyline at night from Namsan Mountain (49174548523).jpg","6000","4000","https://commons.wikimedia.org/wiki/File%3ASeoul_city_skyline_at_night_from_Namsan_Mountain_(49174548523).jpg","https://upload.wikimedia.org/wikipedia/commons/7/73/Seoul_city_skyline_at_night_from_Namsan_Mountain_%2849174548523%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Seoul_city_skyline_at_night_from_Namsan_Mountain_%2849174548523%29.jpg/960px-Seoul_city_skyline_at_night_from_Namsan_Mountain_%2849174548523%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","Matt Kieffer from London, United Kingdom","2019-04-12 20:52","search: Seoul skyline filetype:bitmap"
"41","파노라마","Panoramic view of Hyangwonjeong Pavilion in its pond at Gyeongbokgung Palace with blue sky in Seoul","File:Panoramic view of Hyangwonjeong Pavilion in its pond at Gyeongbokgung Palace with blue sky in Seoul.jpg","6720","3360","https://commons.wikimedia.org/wiki/File%3APanoramic_view_of_Hyangwonjeong_Pavilion_in_its_pond_at_Gyeongbokgung_Palace_with_blue_sky_in_Seoul.jpg","https://upload.wikimedia.org/wikipedia/commons/b/ba/Panoramic_view_of_Hyangwonjeong_Pavilion_in_its_pond_at_Gyeongbokgung_Palace_with_blue_sky_in_Seoul.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Panoramic_view_of_Hyangwonjeong_Pavilion_in_its_pond_at_Gyeongbokgung_Palace_with_blue_sky_in_Seoul.jpg/960px-Panoramic_view_of_Hyangwonjeong_Pavilion_in_its_pond_at_Gyeongbokgung_Palace_with_blue_sky_in_Seoul.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Basile Morin","2024-06-05 09:46:01","search: Seoul panorama filetype:bitmap"
"42","고지대 전경","Skyline of Yeouido, a prominent finance district in Seoul","File:Skyline of Yeouido, a prominent finance district in Seoul.jpg","5328","4000","https://commons.wikimedia.org/wiki/File%3ASkyline_of_Yeouido%2C_a_prominent_finance_district_in_Seoul.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c9/Skyline_of_Yeouido%2C_a_prominent_finance_district_in_Seoul.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Skyline_of_Yeouido%2C_a_prominent_finance_district_in_Seoul.jpg/960px-Skyline_of_Yeouido%2C_a_prominent_finance_district_in_Seoul.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY 4.0","https://creativecommons.org/licenses/by/4.0","S h y numis","2024-03-26 16:32:34","Category:Yeouido"
"43","한강 축","Seocho-gu Skyline from Han River — Dec 2023","File:Seocho-gu Skyline from Han River — Dec 2023.jpg","4032","3024","https://commons.wikimedia.org/wiki/File%3ASeocho-gu_Skyline_from_Han_River_%E2%80%94_Dec_2023.jpg","https://upload.wikimedia.org/wikipedia/commons/3/30/Seocho-gu_Skyline_from_Han_River_%E2%80%94_Dec_2023.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Seocho-gu_Skyline_from_Han_River_%E2%80%94_Dec_2023.jpg/960px-Seocho-gu_Skyline_from_Han_River_%E2%80%94_Dec_2023.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en","SpaceshipMe","2023-12-12 17:00:43","Category:Skylines in Seoul"
"44","한강 축","Seoul night skyline 2018","File:Seoul night skyline 2018.jpg","4032","3024","https://commons.wikimedia.org/wiki/File%3ASeoul_night_skyline_2018.jpg","https://upload.wikimedia.org/wikipedia/commons/5/56/Seoul_night_skyline_2018.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Seoul_night_skyline_2018.jpg/960px-Seoul_night_skyline_2018.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Takipoint123","2018-07-16","search: Seoul skyline filetype:bitmap"
"45","고지대 전경","View of Yeouido skyline from Mapo Bridge","File:View of Yeouido skyline from Mapo Bridge.jpg","4032","3024","https://commons.wikimedia.org/wiki/File%3AView_of_Yeouido_skyline_from_Mapo_Bridge.jpg","https://upload.wikimedia.org/wikipedia/commons/b/b1/View_of_Yeouido_skyline_from_Mapo_Bridge.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/View_of_Yeouido_skyline_from_Mapo_Bridge.jpg/960px-View_of_Yeouido_skyline_from_Mapo_Bridge.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","*Youngjin","2023-07-22 09:50:10","search: Seoul skyline filetype:bitmap"
"46","한강 축","여의도에서 서울의 스카이 라인 Seoul Skyline from Hangang Park - panoramio","File:여의도에서 서울의 스카이 라인 Seoul Skyline from Hangang Park - panoramio.jpg","4000","2664","https://commons.wikimedia.org/wiki/File%3A%EC%97%AC%EC%9D%98%EB%8F%84%EC%97%90%EC%84%9C_%EC%84%9C%EC%9A%B8%EC%9D%98_%EC%8A%A4%EC%B9%B4%EC%9D%B4_%EB%9D%BC%EC%9D%B8_Seoul_Skyline_from_Hangang_Park_-_panoramio.jpg","https://upload.wikimedia.org/wikipedia/commons/b/ba/%EC%97%AC%EC%9D%98%EB%8F%84%EC%97%90%EC%84%9C_%EC%84%9C%EC%9A%B8%EC%9D%98_%EC%8A%A4%EC%B9%B4%EC%9D%B4_%EB%9D%BC%EC%9D%B8_Seoul_Skyline_from_Hangang_Park_-_panoramio.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/%EC%97%AC%EC%9D%98%EB%8F%84%EC%97%90%EC%84%9C_%EC%84%9C%EC%9A%B8%EC%9D%98_%EC%8A%A4%EC%B9%B4%EC%9D%B4_%EB%9D%BC%EC%9D%B8_Seoul_Skyline_from_Hangang_Park_-_panoramio.jpg/960px-%EC%97%AC%EC%9D%98%EB%8F%84%EC%97%90%EC%84%9C_%EC%84%9C%EC%9A%B8%EC%9D%98_%EC%8A%A4%EC%B9%B4%EC%9D%B4_%EB%9D%BC%EC%9D%B8_Seoul_Skyline_from_Hangang_Park_-_panoramio.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY 3.0","https://creativecommons.org/licenses/by/3.0","Bohao Zhao","Taken on 17 May 2013","search: Seoul skyline filetype:bitmap"
"47","한강 축","Cityscape of Jung-gu Seoul Station Square 20240219","File:Cityscape of Jung-gu Seoul Station Square 20240219.jpg","3649","2747","https://commons.wikimedia.org/wiki/File%3ACityscape_of_Jung-gu_Seoul_Station_Square_20240219.jpg","https://upload.wikimedia.org/wikipedia/commons/1/18/Cityscape_of_Jung-gu_Seoul_Station_Square_20240219.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Cityscape_of_Jung-gu_Seoul_Station_Square_20240219.jpg/960px-Cityscape_of_Jung-gu_Seoul_Station_Square_20240219.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY 4.0","https://creativecommons.org/licenses/by/4.0","Sean Young (@assanges)","2024-02-19 13:50:08","search: Seoul cityscape filetype:bitmap"
"48","파노라마","Seoul National Cemetery panorama","File:Seoul National Cemetery panorama.jpg","6325","1580","https://commons.wikimedia.org/wiki/File%3ASeoul_National_Cemetery_panorama.jpg","https://upload.wikimedia.org/wikipedia/commons/7/7d/Seoul_National_Cemetery_panorama.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Seoul_National_Cemetery_panorama.jpg/960px-Seoul_National_Cemetery_panorama.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","LinasD","2011-04-24","search: Seoul panorama filetype:bitmap"
"49","고지대 전경","Downtown Seoul and Namsan in 1911","File:Downtown Seoul and Namsan in 1911.jpg","2378","3404","https://commons.wikimedia.org/wiki/File%3ADowntown_Seoul_and_Namsan_in_1911.jpg","https://upload.wikimedia.org/wikipedia/commons/4/48/Downtown_Seoul_and_Namsan_in_1911.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Downtown_Seoul_and_Namsan_in_1911.jpg/960px-Downtown_Seoul_and_Namsan_in_1911.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","Public domain","","Underwood & Underwood","circa 1911 date QS:P,+1911-00-00T00:00:00Z/9,P1480,Q5727902","search: Seoul cityscape filetype:bitmap"
"50","고지대 전경","Seoul-Cityscape-04","File:Seoul-Cityscape-04.jpg","3072","2304","https://commons.wikimedia.org/wiki/File%3ASeoul-Cityscape-04.jpg","https://upload.wikimedia.org/wikipedia/commons/0/04/Seoul-Cityscape-04.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Seoul-Cityscape-04.jpg/960px-Seoul-Cityscape-04.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 3.0","http://creativecommons.org/licenses/by-sa/3.0/","NHRHS2010","6 August 2007 (according to Exif data)","Category:Views from N Seoul Tower"
"51","파노라마","Panorama of Seoul Youngdengpo Elementary School at Entrance Spot","File:Panorama of Seoul Youngdengpo Elementary School at Entrance Spot.jpg","4202","1637","https://commons.wikimedia.org/wiki/File%3APanorama_of_Seoul_Youngdengpo_Elementary_School_at_Entrance_Spot.jpg","https://upload.wikimedia.org/wikipedia/commons/9/9e/Panorama_of_Seoul_Youngdengpo_Elementary_School_at_Entrance_Spot.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Panorama_of_Seoul_Youngdengpo_Elementary_School_at_Entrance_Spot.jpg/960px-Panorama_of_Seoul_Youngdengpo_Elementary_School_at_Entrance_Spot.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","호로조","2022-05-11 18:11:44","search: Seoul panorama filetype:bitmap"
"52","고지대 전경","Seoul, South Korea 🇰🇷 - Cityscape 2026","File:Seoul, South Korea 🇰🇷 - Cityscape 2026.jpg","2628","1952","https://commons.wikimedia.org/wiki/File%3ASeoul%2C_South_Korea_%F0%9F%87%B0%F0%9F%87%B7_-_Cityscape_2026.jpg","https://upload.wikimedia.org/wikipedia/commons/5/5f/Seoul%2C_South_Korea_%F0%9F%87%B0%F0%9F%87%B7_-_Cityscape_2026.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Seoul%2C_South_Korea_%F0%9F%87%B0%F0%9F%87%B7_-_Cityscape_2026.jpg/960px-Seoul%2C_South_Korea_%F0%9F%87%B0%F0%9F%87%B7_-_Cityscape_2026.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY 4.0","https://creativecommons.org/licenses/by/4.0","Sharon Hahn Darlin","2026-04-05 18:13:14","search: Seoul cityscape filetype:bitmap"
"53","파노라마","Seoul panorama","File:Seoul panorama.jpg","2500","1163","https://commons.wikimedia.org/wiki/File%3ASeoul_panorama.jpg","https://upload.wikimedia.org/wikipedia/commons/6/6e/Seoul_panorama.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Seoul_panorama.jpg/960px-Seoul_panorama.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","Oleg Kurtsev","2012-06-16","Category:Cityscapes of Seoul"
"54","파노라마","Seoul panorama 14","File:Seoul panorama 14.jpg","2300","1219","https://commons.wikimedia.org/wiki/File%3ASeoul_panorama_14.jpg","https://upload.wikimedia.org/wikipedia/commons/e/e6/Seoul_panorama_14.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Seoul_panorama_14.jpg/960px-Seoul_panorama_14.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","Oleg Kurtsev","2012-06-16","Category:Cityscapes of Seoul"
"55","고지대 전경","Night View","File:Night View (127028137).jpeg","2048","1365","https://commons.wikimedia.org/wiki/File%3ANight_View_(127028137).jpeg","https://upload.wikimedia.org/wikipedia/commons/2/27/Night_View_%28127028137%29.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Night_View_%28127028137%29.jpeg/960px-Night_View_%28127028137%29.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY 3.0","https://creativecommons.org/licenses/by/3.0","Ji Won Eum","17 October 2015, 02:57:14 (UTC)","Category:Views from N Seoul Tower"
"56","파노라마","Seoul panorama 11","File:Seoul panorama 11.jpg","2000","1125","https://commons.wikimedia.org/wiki/File%3ASeoul_panorama_11.jpg","https://upload.wikimedia.org/wikipedia/commons/8/84/Seoul_panorama_11.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Seoul_panorama_11.jpg/960px-Seoul_panorama_11.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","Oleg Kurtsev","2012-06-16","Category:Cityscapes of Seoul"
"57","파노라마","Panorama from Minister Sands' Garden","File:Panorama from Minister Sands' Garden.png","2314","876","https://commons.wikimedia.org/wiki/File%3APanorama_from_Minister_Sands'_Garden.png","https://upload.wikimedia.org/wikipedia/commons/7/73/Panorama_from_Minister_Sands%27_Garden.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Panorama_from_Minister_Sands%27_Garden.png/960px-Panorama_from_Minister_Sands%27_Garden.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","Public domain","","Burton Holmes","1899","search: Seoul panorama filetype:bitmap"
"58","파노라마","Panoramic View from 63 Building in Seoul - panoramio","File:Panoramic View from 63 Building in Seoul - panoramio.jpg","2935","663","https://commons.wikimedia.org/wiki/File%3APanoramic_View_from_63_Building_in_Seoul_-_panoramio.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c9/Panoramic_View_from_63_Building_in_Seoul_-_panoramio.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Panoramic_View_from_63_Building_in_Seoul_-_panoramio.jpg/960px-Panoramic_View_from_63_Building_in_Seoul_-_panoramio.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","dokaspar","17 October 2007 (original upload date)","Category:Skylines in Seoul"
"59","파노라마","Seoul panorama 13","File:Seoul panorama 13.jpg","1800","1013","https://commons.wikimedia.org/wiki/File%3ASeoul_panorama_13.jpg","https://upload.wikimedia.org/wikipedia/commons/0/0a/Seoul_panorama_13.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Seoul_panorama_13.jpg/960px-Seoul_panorama_13.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","Oleg Kurtsev","2012-06-16","Category:Cityscapes of Seoul"
"60","고지대 전경","Lotte World Tower and Namsan Tower in Seoul","File:Lotte World Tower and Namsan Tower in Seoul.jpg","1721","833","https://commons.wikimedia.org/wiki/File%3ALotte_World_Tower_and_Namsan_Tower_in_Seoul.jpg","https://upload.wikimedia.org/wikipedia/commons/4/4b/Lotte_World_Tower_and_Namsan_Tower_in_Seoul.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Lotte_World_Tower_and_Namsan_Tower_in_Seoul.jpg/960px-Lotte_World_Tower_and_Namsan_Tower_in_Seoul.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Arturbraun","Taken on 7 October 2017 13:58:21","search: Seoul skyline filetype:bitmap"
"61","고지대 전경","Yeouido","File:Yeouido.png","1280","677","https://commons.wikimedia.org/wiki/File%3AYeouido.png","https://upload.wikimedia.org/wikipedia/commons/6/65/Yeouido.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Yeouido.png/960px-Yeouido.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en","pixabay: @heecheol890102","2016-08-10","Category:Yeouido"
"62","고지대 전경","Seoul Skyline from Namsan (6907572103)","File:Seoul Skyline from Namsan (6907572103).jpg","1000","528","https://commons.wikimedia.org/wiki/File%3ASeoul_Skyline_from_Namsan_(6907572103).jpg","https://upload.wikimedia.org/wikipedia/commons/e/e5/Seoul_Skyline_from_Namsan_%286907572103%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Seoul_Skyline_from_Namsan_%286907572103%29.jpg/960px-Seoul_Skyline_from_Namsan_%286907572103%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","Jimmy McIntyre - Editor HDR One Magazine","Taken on 18 February 2012, 18:05","Category:Cityscapes of Seoul"
"63","한강 축","63 Building and Yeouido Han River Park at Night","File:63 Building and Yeouido Han River Park at Night.jpg","5312","2988","https://commons.wikimedia.org/wiki/File%3A63_Building_and_Yeouido_Han_River_Park_at_Night.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d7/63_Building_and_Yeouido_Han_River_Park_at_Night.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/63_Building_and_Yeouido_Han_River_Park_at_Night.jpg/960px-63_Building_and_Yeouido_Han_River_Park_at_Night.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY 2.0","https://creativecommons.org/licenses/by/2.0","Patrick Park","2015-11-29 00:56:19","search: Han River Seoul panorama filetype:bitmap"
"64","한강 축","Han River and Lotte World Tower","File:Han River and Lotte World Tower.jpg","5218","2935","https://commons.wikimedia.org/wiki/File%3AHan_River_and_Lotte_World_Tower.jpg","https://upload.wikimedia.org/wikipedia/commons/9/9c/Han_River_and_Lotte_World_Tower.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Han_River_and_Lotte_World_Tower.jpg/960px-Han_River_and_Lotte_World_Tower.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en","mauveine.kim","2018-08-14","search: Han River Seoul panorama filetype:bitmap"
"65","한강 축","Hangang Railway Bridge and Yeouido","File:Hangang Railway Bridge and Yeouido.jpg","4032","1960","https://commons.wikimedia.org/wiki/File%3AHangang_Railway_Bridge_and_Yeouido.jpg","https://upload.wikimedia.org/wikipedia/commons/a/a3/Hangang_Railway_Bridge_and_Yeouido.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Hangang_Railway_Bridge_and_Yeouido.jpg/960px-Hangang_Railway_Bridge_and_Yeouido.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","Ox1997cow","24 June 2019 (according to Exif data)","Category:Yeouido"
"66","한강 축","Yeouido Skyscrapers 2019","File:Yeouido Skyscrapers 2019.jpg","4032","1960","https://commons.wikimedia.org/wiki/File%3AYeouido_Skyscrapers_2019.jpg","https://upload.wikimedia.org/wikipedia/commons/2/2b/Yeouido_Skyscrapers_2019.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Yeouido_Skyscrapers_2019.jpg/960px-Yeouido_Skyscrapers_2019.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY 3.0","https://creativecommons.org/licenses/by/3.0","Ox1997cow","2019-04-21 18:19:43","Category:Yeouido"
"67","파노라마","The speech on the copyright and panorama at WikiConference Seoul 2016","File:The speech on the copyright and panorama at WikiConference Seoul 2016.jpg","6000","4000","https://commons.wikimedia.org/wiki/File%3AThe_speech_on_the_copyright_and_panorama_at_WikiConference_Seoul_2016.jpg","https://upload.wikimedia.org/wikipedia/commons/e/ec/The_speech_on_the_copyright_and_panorama_at_WikiConference_Seoul_2016.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/The_speech_on_the_copyright_and_panorama_at_WikiConference_Seoul_2016.jpg/960px-The_speech_on_the_copyright_and_panorama_at_WikiConference_Seoul_2016.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Jjw","2016-07-23 20:13:58","search: Seoul panorama filetype:bitmap"
"68","파노라마","October Welcome Backstrike City - Panorama Tower Seoul Korea - Master Asia Photography 2012 Truth the Colors of Gate Eden - panoramio (1)","File:October Welcome Backstrike City - Panorama Tower Seoul Korea - Master Asia Photography 2012 Truth the Colors of Gate Eden - panoramio (1).jpg","4126","3126","https://commons.wikimedia.org/wiki/File%3AOctober_Welcome_Backstrike_City_-_Panorama_Tower_Seoul_Korea_-_Master_Asia_Photography_2012_Truth_the_Colors_of_Gate_Eden_-_panoramio_(1).jpg","https://upload.wikimedia.org/wikipedia/commons/d/d5/October_Welcome_Backstrike_City_-_Panorama_Tower_Seoul_Korea_-_Master_Asia_Photography_2012_Truth_the_Colors_of_Gate_Eden_-_panoramio_%281%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/October_Welcome_Backstrike_City_-_Panorama_Tower_Seoul_Korea_-_Master_Asia_Photography_2012_Truth_the_Colors_of_Gate_Eden_-_panoramio_%281%29.jpg/960px-October_Welcome_Backstrike_City_-_Panorama_Tower_Seoul_Korea_-_Master_Asia_Photography_2012_Truth_the_Colors_of_Gate_Eden_-_panoramio_%281%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail","CC BY 3.0","https://creativecommons.org/licenses/by/3.0","pictures Jettcom","Taken on 28 September 2012","Category:Views from N Seoul Tower"
